it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      70  4.49702994E-01  7.23912245E-03   9.00000000E+05 -3.19743845E-13  8.82349749E-14 -1.89354215E-17  6.03450729E+05  4.90975533E-15 -1.16253578E-16 -3.19799465E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.68E+05  2.00E+00  1.27E+00  6.62E-03
      72  4.62551651E-01  7.23912224E-03   9.00000000E+05 -2.34478933E-13 -1.90125693E-15 -2.83273229E-17  6.03450750E+05  5.59058008E-15 -1.09179159E-16 -3.89032566E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.46E+05  2.00E+00  1.45E+00  7.59E-03
      74  4.75400308E-01  7.23912202E-03   9.00000000E+05 -3.05533532E-13 -5.65658631E-14 -3.55448906E-17  6.03450771E+05  6.08231998E-15 -1.03270257E-16 -4.60154212E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.64E+05  2.00E+00  1.29E+00  6.75E-03
      76  4.88248965E-01  7.23912180E-03   9.00000000E+05 -3.41059978E-13  1.37542755E-13 -3.63029851E-17  6.03450792E+05  6.35196106E-15 -9.89334482E-17 -5.32621401E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.66E+05  2.00E+00  1.28E+00  6.68E-03
      78  5.01097621E-01  7.23912159E-03   9.00000000E+05 -3.94351076E-13  5.67046410E-13 -4.40245374E-17  6.03450813E+05  6.43642041E-15 -9.70903045E-17 -6.06454829E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.68E+05  2.00E+00  1.26E+00  6.58E-03
      80  5.13946278E-01  7.23912137E-03   9.00000000E+05 -3.44613484E-13  9.28104815E-13 -9.12807597E-16  6.03450833E+05  6.36762778E-15 -9.76053006E-17 -6.81977553E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.69E+05  2.00E+00  1.25E+00  6.52E-03
      82  5.26794935E-01  7.23912116E-03   9.00000000E+05 -2.52243240E-13  1.39796508E-12 -3.92014387E-15  6.03450854E+05  6.06665326E-15 -1.00126071E-16 -7.59873796E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.60E+05  2.00E+00  1.32E+00  6.89E-03
      84  5.39643592E-01  7.23912095E-03   9.00000000E+05 -2.30926545E-13  1.81248072E-12 -7.79227028E-15  6.03450875E+05  5.40789202E-15 -1.03324467E-16 -8.39577292E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.70E+05  2.00E+00  1.25E+00  6.48E-03
      86  5.52492249E-01  7.23912075E-03   9.00000000E+05 -1.74082340E-13  2.00334194E-12 -5.06282519E-15  6.03450896E+05  4.46783452E-15 -1.07444435E-16 -9.20801095E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.65E+05  2.00E+00  1.29E+00  6.69E-03
      88  5.65340906E-01  7.23912055E-03   9.00000000E+05 -2.34478791E-13  1.97478145E-12 -6.01959126E-15  6.03450917E+05  3.37192297E-15 -1.11889664E-16 -1.00250517E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.68E+05  2.00E+00  1.26E+00  6.57E-03
