it global_time dt rho m1 m2 m3 e b1 b2 b3 c1 c2 c3 c4 c5 c6 n1 n2 n3 n4 n5 n6 | Xload Xmemory 'Cell_Updates /second/core' 'Active_Blocks/Core' 'Wct Per Code Time [s]' 'TimeToFinish [hrs]'
      78  5.01097621E-01  7.23914970E-03   9.00000000E+05 -3.38813179E-20 -9.23701220E-14 -5.29395592E-19  6.03450000E+05  2.16840434E-18  1.62630326E-19 -6.04039632E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.71E+05  2.00E+00  1.24E+00  6.46E-03
      80  5.13946278E-01  7.23914969E-03   9.00000000E+05  3.04931861E-19 -2.27373459E-13 -6.23416249E-19  6.03450000E+05  2.92734587E-18  8.13151629E-20 -6.79217311E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  5.88E-03
      82  5.26794935E-01  7.23914969E-03   9.00000000E+05  6.09863722E-20 -3.12621673E-13 -6.76779325E-19  6.03450000E+05  3.79470760E-18  1.08420217E-19 -7.56758658E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.90E+05  2.00E+00  1.12E+00  5.83E-03
      84  5.39643592E-01  7.23914968E-03   9.00000000E+05 -7.10529861E-15 -5.61339278E-13 -5.05678670E-19  6.03450000E+05  3.08997619E-18  1.62630326E-19 -8.36102312E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.73E+05  2.00E+00  1.23E+00  6.38E-03
      86  5.52492249E-01  7.23914968E-03   9.00000000E+05 -1.42108276E-14 -6.21723213E-13 -6.57297567E-19  6.03450000E+05  4.06575815E-18  5.42101086E-20 -9.16967027E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.80E+05  2.00E+00  1.18E+00  6.11E-03
      88  5.65340906E-01  7.23914967E-03   9.00000000E+05 -3.55291697E-15 -4.72501595E-13 -1.09944877E-18  6.03450000E+05  3.63207728E-18 -5.42101086E-20 -9.98312489E-12   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.85E+05  2.00E+00  1.15E+00  5.97E-03
      90  5.78189563E-01  7.23914967E-03   9.00000000E+05 -1.42113291E-14 -5.15133021E-13 -7.23366137E-19  6.03450000E+05  3.63207728E-18  2.71050543E-20 -1.08129233E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.88E+05  2.00E+00  1.13E+00  5.86E-03
      92  5.91038220E-01  7.23914966E-03   9.00000000E+05 -4.97379780E-14 -5.89741363E-13  2.45300742E-18  6.03450000E+05  4.28259858E-18  0.00000000E+00 -1.16472838E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.92E+05  2.00E+00  1.11E+00  5.74E-03
      94  6.03886877E-01  7.23914965E-03   9.00000000E+05 -8.17126450E-14 -5.75531810E-13 -1.66382682E-16  6.03450000E+05  3.63207728E-18  2.16840434E-19 -1.25010550E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.79E+05  2.00E+00  1.19E+00  6.15E-03
      96  6.16735534E-01  7.23914964E-03   9.00000000E+05 -1.31450691E-13 -4.65399475E-13 -1.12713150E-15  6.03450000E+05  6.88468380E-18  2.16840434E-19 -1.33633018E-11   1.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00       16       0       0       0       0       0 |   0.00E+00  0.00E+00  1.29E+05  2.00E+00  1.64E+00  8.52E-03
